experiment,run_name,model,family,regime,implementation_note,metrics_source,parameters,trainable_parameters,fast_mode,compile_enabled,epochs_completed,best_auc_epoch,best_validation_auc,validation_nll_at_best_auc,minimum_validation_nll,minimum_nll_epoch,final_validation_auc,final_validation_nll,final_train_loss,post_peak_auc_change,post_peak_nll_change,corrected_evaluation,test_accuracy,test_balanced_accuracy,test_auc_roc,test_average_precision,test_f1,test_precision,test_sensitivity,test_specificity,test_nll,test_brier,test_ece,test_tp,test_tn,test_fp,test_fn
e00,e00-smallcnn-control,SmallCNN,CNN,"scratch, 100%",,test_predictions.csv (tie-aware ranking metrics),1173473,1173473,False,False,44,24,0.9690953790607809,0.27661784165877557,0.2719666192916567,9,0.9600064476591197,0.4873214794346358,0.060418871559249965,-0.009088931401661227,0.2107036377758602,False,0.896759033203125,0.89669884837136,0.9608288991693493,0.9648304581920046,0.8893974564357406,0.9566746377830918,0.8309609627955281,0.9624367339471919,0.3301706812118239,0.08328799343915082,0.059411530665118076,13602,15783,616,2767
e01,e01-resnet18-scratch,ResNet-18 (scratch),CNN,"scratch, 100%",,test_predictions.csv (tie-aware ranking metrics),11177025,11177025,False,False,33,13,0.9536683325832647,0.3824000314816771,0.3305016054992272,7,0.9411471527673695,0.5496126617802959,0.06205209923518851,-0.012521179815895178,0.16721263029861877,False,0.872100830078125,0.8720226314108523,0.9525378656425318,0.9566209557165988,0.8600340647229735,0.9485781641373213,0.7866088337711528,0.9574364290505518,0.36252630973060684,0.10042453922548833,0.06684543754332382,12876,15701,698,3493
e02,e02-resnet18-imagenet,ResNet-18 (ImageNet),CNN,"ImageNet, 100%",,test_predictions.csv (tie-aware ranking metrics),11177025,11177025,False,False,24,9,0.9539550440154864,0.3726964929749962,0.3726964929749962,9,0.9256535632797502,0.9740011829758407,0.028861842782021085,-0.02830148073573613,0.6013046900008445,False,0.887603759765625,0.8875383145962685,0.9574126057991248,0.9609473881661381,0.8788446988387775,0.9521026372059872,0.8160547376137821,0.9590218915787548,0.33843078945104116,0.0889495706335362,0.060652788509378885,13358,15727,672,3011
e03,e03-resnet50-scratch,ResNet-50 (scratch),CNN,"scratch, 100%",,test_predictions.csv (tie-aware ranking metrics),23510081,23510081,False,False,37,17,0.9614998329933427,0.3070187353891707,0.29386925655067997,12,0.944934322691641,0.5177166628049169,0.057615942292557065,-0.016565510301701725,0.21069792741574622,False,0.892608642578125,0.8925513041170069,0.9605577965285786,0.9643659050726388,0.885333507119815,0.9486731843575419,0.8299224143197508,0.955180193914263,0.29561813816263144,0.08318984871592501,0.044858165198528824,13585,15664,735,2784
e04,e04-resnet50-imagenet,ResNet-50 (ImageNet),CNN,"ImageNet, 100%",,test_predictions.csv (tie-aware ranking metrics),23510081,23510081,False,False,18,3,0.9590904377230683,0.3221483797260908,0.3221483797260908,3,0.9321385703041775,0.9068289206422177,0.023202527710662224,-0.026951867418890885,0.5846805409161269,False,0.88543701171875,0.8853688545822809,0.951645730511432,0.9575398489362779,0.8761137878687875,0.9527022177564056,0.8109230863217056,0.9598146228428562,0.35856182325035624,0.09360734565639524,0.060797535093938204,13274,15740,659,3095
e05,e05-densenet121-scratch,DenseNet-121 (scratch),CNN,"scratch, 100%",,test_predictions.csv (tie-aware ranking metrics),6954881,6954881,False,False,44,24,0.9563946402197233,0.41564130147739076,0.3604560180218819,9,0.9487142804525783,0.4688661563385433,0.06889665154449176,-0.007680359767144984,0.053224854861152526,False,0.872650146484375,0.8725611076736794,0.9460678374963382,0.9539983320853742,0.8588056166469296,0.9624601850447444,0.7753069827112224,0.9698152326361363,0.43222928660613075,0.1060831156042536,0.07864788522321711,12691,15904,495,3678
e06,e06-densenet121-imagenet,DenseNet-121 (ImageNet),CNN,"ImageNet, 100%",,test_predictions.csv (tie-aware ranking metrics),6954881,6954881,False,False,24,9,0.9618832418034928,0.3805539727636204,0.3214031485525075,1,0.9250909642482447,0.7387902857924216,0.03458684486265895,-0.036792277555248165,0.35823631302880116,False,0.909698486328125,0.9096425591765933,0.9680602431802254,0.9712461659279579,0.903737922508865,0.9665970772442589,0.8485551957969333,0.9707299225562535,0.3046014888356191,0.07519720803291008,0.05459097258457202,13890,15919,480,2479
e07,e07-gdensenet-d4,G-DenseNet D4,equivariant,"scratch, 100%",native D4 reconstruction,test_predictions.csv (tie-aware ranking metrics),255027,255027,True,False,79,59,0.9566394477163738,0.5323634743567396,0.3552242107665013,10,0.9340486052199515,0.8186749893411743,0.011196772539351585,-0.022590842496422292,0.28631151498443475,False,0.9007568359375,0.9006955089289304,0.9622704703765207,0.9659194668361346,0.893537615399725,0.9626155039853284,0.8337100617019977,0.9676809561558631,0.4664898284605493,0.08522363499961381,0.07606904244341942,13647,15869,530,2722
e08,e08-partial-se2-c16,C16 with orientation gating,equivariant,"scratch, 100%",relative-orientation gates; not the published partial-equivariance mechanism,test_predictions.csv (tie-aware ranking metrics),127277,127277,True,False,25,5,0.895876442633367,0.43714250854416775,0.43714250854416775,5,0.8164652008816408,0.9508677246332804,0.27054011228892705,-0.0794112417517262,0.5137252160891126,True,0.835662841796875,0.8356350158075935,0.9138842937498022,0.9095484822225046,0.8303776734809588,0.8571335674339966,0.8052416152483353,0.8660284163668517,0.3989788257314374,0.11773134622774059,0.02288417903778651,13181,14202,2197,3188
e09,e09-inception-supervised-5pct,Inception-v3,label-efficient,"ImageNet, 5%",,test_predictions.csv (tie-aware ranking metrics),21787617,21787617,True,False,26,11,0.9363555121474717,0.3722791518289499,0.36267120733148805,9,0.9215793708614601,0.5777195268921992,0.07526895684651351,-0.014776141286011568,0.2054403750632493,False,0.866729736328125,0.8667026628110526,0.9423428476867852,0.9445986877651018,0.8625562584584395,0.8895741365878993,0.837131162563382,0.8962741630587231,0.360093878851861,0.10066751949243222,0.06105559943591126,13703,14698,1701,2666
