ci95_high,ci95_low,mean,method,metric,model,n
0.15420159317155419,0.11610384829853185,0.13539735198253,gradcam,center_mass_ratio,e06,32
0.9368175088665719,0.750819468544392,0.850559253882435,gradcam,mass_inside,e06,21
0.9291052227389752,0.7433843609530851,0.8439469895501798,gradcam,pixel_auprc,e06,25
1.0,0.88,0.96,gradcam,pointing_game,e06,25
0.26890592064870966,0.13187290519878542,0.19787286947151492,gradcam,deletion_auc,e06,48
0.5548166309115913,0.3609791381049338,0.4526921012341821,gradcam,insertion_auc,e06,48
0.8736329921582655,0.7279690911774886,0.8065392321147693,gradcam,d4_pearson,e06,60
nan,nan,nan,gradcam,sanity_full_pearson,e06,0
0.1285043250666724,0.11286563197734134,0.12058945503682457,ig,center_mass_ratio,e06,48
0.847110671932678,0.6597632058458021,0.756325001302615,ig,mass_inside,e06,25
0.8265182002812601,0.6114511628180951,0.7199275713714397,ig,pixel_auprc,e06,25
1.0,0.72,0.88,ig,pointing_game,e06,25
0.04720451494522418,0.014821780445345212,0.02744696327135898,ig,deletion_auc,e06,48
0.2834804907610305,0.15711508073309233,0.2179901340350625,ig,insertion_auc,e06,48
0.41621522211087664,0.38540934546422234,0.40009061993378764,ig,d4_pearson,e06,96
0.04800111346727963,0.0152988919234163,0.03316141705058716,ig,sanity_full_pearson,e06,4
0.12019784399987961,0.104408562151019,0.11239445929917569,rise,center_mass_ratio,e06,48
0.819929471062829,0.6003548138189628,0.7084028253565268,rise,mass_inside,e06,25
0.8852464487634749,0.6998423838870353,0.7967929640823513,rise,pixel_auprc,e06,25
0.92,0.64,0.8,rise,pointing_game,e06,25
0.19842428405214982,0.0815141544382641,0.13546112924571693,rise,deletion_auc,e06,48
0.6214750656575536,0.44489953517865316,0.535696729508345,rise,insertion_auc,e06,48
nan,nan,nan,rise,d4_pearson,e06,0
nan,nan,nan,rise,sanity_full_pearson,e06,0
0.17772838953601588,0.07311996629981884,0.11890624053546425,gradcam,center_mass_ratio,e07,45
0.9277879321352813,0.7428126620126179,0.8417468251705256,gradcam,mass_inside,e07,25
0.893569622900536,0.7327416053270287,0.819545397203321,gradcam,pixel_auprc,e07,25
1.0,0.72,0.88,gradcam,pointing_game,e07,25
0.41742836450082443,0.2656104476699852,0.3413922908486408,gradcam,deletion_auc,e07,48
0.5674323801647309,0.39060850959055343,0.4816759926785987,gradcam,insertion_auc,e07,48
0.9999999484431932,0.9999999201610904,0.9999999352617721,gradcam,d4_pearson,e07,90
0.2281457839962044,0.031455551639266874,0.11210223599134439,gradcam,sanity_full_pearson,e07,4
0.12435211560906165,0.10310546078773675,0.11381376218281243,ig,center_mass_ratio,e07,48
0.8043426861113577,0.5716760477632207,0.6902606732506793,ig,mass_inside,e07,25
0.8069702289696411,0.5563287395467795,0.6825956152117594,ig,pixel_auprc,e07,25
0.88,0.52,0.72,ig,pointing_game,e07,25
0.328061359631162,0.19967796949161615,0.2606732926821375,ig,deletion_auc,e07,48
0.9140266034131248,0.8406913559883833,0.8805082067847252,ig,insertion_auc,e07,48
0.99996721915649,0.9999638508657007,0.9999656031480724,ig,d4_pearson,e07,96
0.2643846946637741,0.11977432133212751,0.19991151506000393,ig,sanity_full_pearson,e07,4
0.11656772047814255,0.11014439319295104,0.11333788631095298,rise,center_mass_ratio,e07,48
0.7949814510175615,0.5494453355484838,0.6738762335466656,rise,mass_inside,e07,25
0.8100212160262819,0.5599024441789656,0.6837717636412795,rise,pixel_auprc,e07,25
0.88,0.56,0.72,rise,pointing_game,e07,25
0.5304845332564279,0.38155979355457625,0.4595270207676852,rise,deletion_auc,e07,48
0.6036892893278794,0.47310373149787965,0.5406113538447244,rise,insertion_auc,e07,48
nan,nan,nan,rise,d4_pearson,e07,0
nan,nan,nan,rise,sanity_full_pearson,e07,0
0.16067858641432495,0.10020263059874018,0.12819345146866917,gradcam,center_mass_ratio,e11b,30
0.9374976910602726,0.7280198411102319,0.840706243641496,gradcam,mass_inside,e11b,20
0.936619598995745,0.7932741918153937,0.8686078635672096,gradcam,pixel_auprc,e11b,25
0.96,0.68,0.84,gradcam,pointing_game,e11b,25
0.22097652135304596,0.09875038658672394,0.15775119057902506,gradcam,deletion_auc,e11b,48
0.37967767906440303,0.2168195717672584,0.29563180522484345,gradcam,insertion_auc,e11b,48
0.9372322837445365,0.8493341831123147,0.8979719393218042,gradcam,d4_pearson,e11b,59
0.3569176512868176,-0.20430914116638677,0.07630425506021545,gradcam,sanity_full_pearson,e11b,4
0.11950413639838221,0.1067281280642623,0.11324228191763393,ig,center_mass_ratio,e11b,48
0.8404472532541514,0.6412377934623892,0.743483598940222,ig,mass_inside,e11b,25
0.820132962494621,0.6031782567158442,0.712719140902324,ig,pixel_auprc,e11b,25
0.96,0.68,0.84,ig,pointing_game,e11b,25
0.06399535202472177,0.02380797219395087,0.041386096535764715,ig,deletion_auc,e11b,48
0.3397103723834029,0.18803981507850645,0.2627267327043228,ig,insertion_auc,e11b,48
0.4570116773355068,0.42056913398904805,0.4389598958487461,ig,d4_pearson,e11b,96
0.02434765639060088,0.00111144348884483,0.011528483272340783,ig,sanity_full_pearson,e11b,4
0.11970161927738476,0.10970039459106067,0.11462730834814673,rise,center_mass_ratio,e11b,48
0.8049966255284836,0.5498106685785894,0.6808514305048047,rise,mass_inside,e11b,25
0.8287085211871966,0.572723929081642,0.7082229311787503,rise,pixel_auprc,e11b,25
0.88,0.52,0.72,rise,pointing_game,e11b,25
